,Unnamed: 0,First_Name,Gender
0,0,Rania,female
3,3,Suhana,female
4,4,Anahi,female
5,5,Shayak,male
6,6,Ivana,female
8,8,Aaina,female
9,9,Rasha,female
10,10,Nirvaan,male
12,12,Farhan,male
13,13,Abram,male
14,14,Mamooty,male
15,15,Emir,male
16,16,Kismat,male
17,17,Dharmajan,male
18,18,Ehsaan,male
19,19,Nehmat,female
20,20,Dhanuk,male
22,22,Siya,female
23,23,Samaira,female
24,24,Seher,female
25,25,Shanaya,female
26,26,Neelofar,female
27,27,Shalv,male
28,28,Ryan,male
29,29,Taimur,male
1,1,Vardaniya,male
2,2,Aaryahi,female
7,7,Stuvan,male
11,11,Indrans,male
21,21,Parinaaz,male
